time S E ES P
0 500 100 0 0
0.1 456 56 44 0
0.2 430 33 67 3
0.3 412 24 76 12
0.4 407 33 67 26
0.5 391 20 80 29
0.6 385 21 79 36
0.7 378 20 80 42
0.8 372 20 80 48
0.9 373 30 70 57
1 369 33 67 64
1.1 363 32 68 69
1.2 351 24 76 73
1.3 347 28 72 81
1.4 345 29 71 84
1.5 337 29 71 92
1.6 323 19 81 96
1.7 321 25 75 104
1.8 320 30 70 110
1.9 315 33 67 118
2 309 32 68 123
2.1 303 35 65 132
2.2 294 35 65 141
2.3 283 32 68 149
2.4 279 34 66 155
2.5 275 33 67 158
2.6 267 32 68 165
2.7 261 37 63 176
2.8 251 36 64 185
2.9 237 31 69 194
3 229 27 73 198
3.1 225 30 70 205
3.2 222 35 65 213
3.3 218 36 64 218
3.4 213 39 61 226
3.5 210 41 59 231
3.6 205 42 58 237
3.7 207 47 53 240
3.8 199 43 57 244
3.9 197 46 54 249
4 192 52 48 260
4.1 190 55 45 265
4.2 181 52 48 271
4.3 173 50 50 277
4.4 172 52 48 280
4.5 169 52 48 283
4.6 164 50 50 286
4.7 153 46 54 293
4.8 148 44 56 296
4.9 140 41 59 301
5 141 52 48 311
5.1 136 55 45 319
5.2 128 54 46 326
5.3 124 52 48 328
5.4 115 46 54 331
5.5 114 51 49 337
5.6 119 60 40 341
5.7 115 59 41 344
5.8 109 60 40 351
5.9 103 61 39 358
6 96 62 38 366
6.1 93 63 37 370
6.2 89 63 37 374
6.3 88 65 35 377
6.4 82 62 38 380
6.5 83 66 34 383
6.6 79 63 37 384
6.7 76 66 34 390
6.8 74 69 31 395
6.9 64 61 39 397
7 62 64 36 402
7.1 61 67 33 406
7.2 56 63 37 407
7.3 53 63 37 410
7.4 50 61 39 411
7.5 49 64 36 415
7.6 48 64 36 416
7.7 45 67 33 422
7.8 45 72 28 427
7.9 36 66 34 430
8 38 70 30 432
8.1 38 71 29 433
8.2 37 73 27 436
8.3 38 77 23 439
8.4 37 77 23 440
8.5 34 75 25 441
8.6 33 75 25 442
8.7 30 76 24 446
8.8 30 79 21 449
8.9 28 79 21 451
9 28 81 19 453
9.1 29 82 18 453
9.2 27 83 17 456
9.3 23 80 20 457
9.4 19 77 23 458
9.5 20 82 18 462
9.6 17 81 19 464
9.7 16 80 20 464
9.8 15 82 18 467
9.9 14 82 18 468
10 19 87 13 468
