time X A B A2 B2
0 1 0 0 0 0
0.1 1 0 0 0 0
0.2 1 0 0 0 0
0.3 1 0 0 0 0
0.4 1 0 0 0 0
0.5 1 0 0 0 0
0.6 1 1 1 0 0
0.7 1 1 1 0 0
0.8 1 1 1 0 0
0.9 1 1 1 0 0
1 1 1 1 0 0
1.1 1 1 1 0 0
1.2 1 2 2 0 0
1.3 1 2 2 0 0
1.4 1 2 2 0 0
1.5 1 2 2 0 0
1.6 1 2 2 0 0
1.7 1 2 2 0 0
1.8 1 2 2 0 0
1.9 1 2 2 0 0
2 1 2 2 0 0
2.1 1 2 2 0 0
2.2 1 2 2 0 0
2.3 1 2 2 0 0
2.4 1 2 2 0 0
2.5 1 2 2 0 0
2.6 1 2 2 0 0
2.7 1 2 2 0 0
2.8 1 2 2 0 0
2.9 1 2 2 0 0
3 1 2 2 0 0
3.1 1 2 2 0 0
3.2 1 2 2 0 0
3.3 1 2 2 0 0
3.4 1 2 2 0 0
3.5 1 2 2 0 0
3.6 1 2 2 0 0
3.7 1 2 2 0 0
3.8 1 2 2 0 0
3.9 1 2 2 0 0
4 1 2 2 0 0
4.1 1 2 2 0 0
4.2 1 2 2 0 0
4.3 1 2 2 0 0
4.4 1 2 2 0 0
4.5 1 2 2 0 0
4.6 1 2 2 0 0
4.7 1 2 2 0 0
4.8 1 2 2 0 0
4.9 1 2 2 0 0
5 1 2 2 0 0
5.1 1 2 2 0 0
5.2 1 2 2 0 0
5.3 1 2 2 0 0
5.4 1 2 2 0 0
5.5 1 2 2 0 0
5.6 1 2 2 0 0
5.7 1 2 2 0 0
5.8 1 2 2 0 0
5.9 1 2 2 0 0
6 1 2 2 0 0
6.1 1 2 2 0 0
6.2 1 2 2 0 0
6.3 1 2 2 0 0
6.4 1 2 2 0 0
6.5 1 2 2 0 0
6.6 1 2 2 0 0
6.7 1 2 2 0 0
6.8 1 2 2 0 0
6.9 1 2 2 0 0
7 1 2 2 0 0
7.1 1 2 2 0 0
7.2 1 3 3 0 0
7.3 1 3 3 0 0
7.4 1 3 3 0 0
7.5 1 3 3 0 0
7.6 1 4 4 0 0
7.7 1 4 4 0 0
7.8 1 4 4 0 0
7.9 1 4 4 0 0
8 1 4 4 0 0
8.1 1 4 4 0 0
8.2 1 4 3 0 0
8.3 1 4 3 0 0
8.4 1 4 3 0 0
8.5 1 4 3 0 0
8.6 1 4 3 0 0
8.7 1 4 3 0 0
8.8 1 4 3 0 0
8.9 1 4 3 0 0
9 1 4 3 0 0
9.1 1 4 3 0 0
9.2 1 4 3 0 0
9.3 1 4 3 0 0
9.4 1 5 4 0 0
9.5 1 5 4 0 0
9.6 1 5 4 0 0
9.7 1 5 4 0 0
9.8 1 6 5 0 0
9.9 1 6 5 0 0
10 1 6 5 0 0
10.1 1 6 5 0 0
10.2 1 6 5 0 0
10.3 1 6 5 0 0
10.4 1 6 5 0 0
10.5 1 6 5 0 0
10.6 1 6 5 0 0
10.7 1 6 5 0 0
10.8 1 6 5 0 0
10.9 1 6 5 0 0
11 1 6 5 0 0
11.1 1 6 5 0 0
11.2 1 6 5 0 0
11.3 1 4 5 1 0
11.4 1 2 5 2 0
11.5 1 3 6 2 0
11.6 1 1 6 3 0
11.7 1 1 6 3 0
11.8 1 1 5 3 0
11.9 1 2 6 3 0
12 1 2 4 3 1
12.1 1 4 3 2 1
12.2 1 2 3 3 1
12.3 1 2 3 3 1
12.4 1 4 3 2 1
12.5 1 4 3 2 1
12.6 1 4 3 2 1
12.7 1 6 3 1 1
12.8 1 4 3 2 1
12.9 1 4 3 2 1
13 1 4 3 2 1
13.1 1 6 3 1 1
13.2 1 4 3 2 1
13.3 1 4 3 2 1
13.4 1 4 3 2 1
13.5 1 4 3 2 1
13.6 1 4 3 2 1
13.7 1 4 3 2 1
13.8 1 4 3 2 1
13.9 1 4 3 2 1
14 1 4 3 2 1
14.1 1 5 4 2 1
14.2 1 7 4 1 1
14.3 1 7 4 1 1
14.4 1 7 4 1 1
14.5 1 8 3 1 2
14.6 1 4 3 3 2
14.7 1 4 3 3 2
14.8 1 4 3 3 2
14.9 1 4 3 3 2
15 1 4 3 3 2
15.1 1 4 3 3 2
15.2 1 5 6 3 1
15.3 1 6 5 3 2
15.4 1 5 5 3 2
15.5 1 5 5 3 2
15.6 1 5 3 3 3
15.7 1 4 3 3 3
15.8 1 4 3 3 3
15.9 1 4 5 3 2
16 1 4 5 3 2
16.1 1 4 5 3 2
16.2 1 4 5 3 2
16.3 1 4 5 3 2
16.4 1 6 7 2 1
16.5 1 6 7 2 1
16.6 1 6 7 2 1
16.7 1 6 7 2 1
16.8 1 8 7 1 1
16.9 1 8 9 1 0
17 1 8 7 1 1
17.1 1 8 7 1 1
17.2 1 8 7 1 1
17.3 1 8 5 1 2
17.4 1 8 5 1 2
17.5 1 9 6 1 2
17.6 1 9 6 1 2
17.7 1 9 6 1 2
17.8 1 10 7 1 2
17.9 1 10 5 1 3
18 1 10 5 1 3
18.1 1 10 5 1 3
18.2 1 10 7 1 2
18.3 1 12 3 0 4
18.4 1 12 3 0 4
18.5 1 12 3 0 4
18.6 1 12 3 0 4
18.7 1 11 3 0 4
18.8 1 11 3 0 4
18.9 1 9 3 1 4
19 1 9 5 1 3
19.1 1 9 5 1 3
19.2 1 9 5 1 3
19.3 1 10 6 1 3
19.4 1 10 6 1 3
19.5 1 9 6 1 3
19.6 1 9 6 1 3
19.7 1 10 7 1 3
19.8 1 8 5 2 4
19.9 1 9 9 2 2
20 1 9 9 2 2
20.1 1 9 9 2 2
20.2 1 11 7 1 3
20.3 1 9 7 2 3
20.4 1 7 7 3 3
20.5 1 5 7 4 3
20.6 1 5 6 4 3
20.7 1 5 8 4 2
20.8 1 5 10 4 1
20.9 1 7 10 3 1
21 1 5 9 4 1
21.1 1 4 7 4 2
21.2 1 6 7 3 2
21.3 1 6 7 3 2
21.4 1 7 8 3 2
21.5 1 8 9 3 2
21.6 1 8 9 3 2
21.7 1 10 11 2 1
21.8 1 10 11 2 1
21.9 1 8 11 3 1
22 1 10 11 2 1
22.1 1 10 10 2 1
22.2 1 9 10 2 1
22.3 1 11 10 1 1
22.4 1 9 8 2 2
22.5 1 9 8 2 2
22.6 1 10 9 2 2
22.7 1 10 9 2 2
22.8 1 10 8 2 2
22.9 1 10 10 2 1
23 1 10 8 2 2
23.1 1 8 12 3 0
23.2 1 8 10 3 1
23.3 1 8 8 3 2
23.4 1 8 8 3 2
23.5 1 8 8 3 2
23.6 1 8 8 3 2
23.7 1 8 8 3 2
23.8 1 8 8 3 2
23.9 1 8 8 3 2
24 1 10 8 2 2
24.1 1 8 6 3 3
24.2 1 8 6 3 3
24.3 1 8 6 3 3
24.4 1 8 4 3 4
24.5 1 8 4 3 4
24.6 1 8 4 3 4
24.7 1 10 4 2 4
24.8 1 8 3 3 4
24.9 1 8 3 3 4
25 1 8 3 3 4
25.1 1 8 3 3 4
25.2 1 6 3 4 4
25.3 1 6 3 4 4
25.4 1 6 9 4 1
25.5 1 6 7 4 2
25.6 1 5 7 4 2
25.7 1 5 7 4 2
25.8 1 5 7 4 2
25.9 1 5 5 4 3
26 1 5 7 4 2
26.1 1 5 3 4 4
26.2 1 5 3 4 4
