# Smoldyn surface of spheres created by program SmolCrowd
# File name: out2D50.txt
# dim=2, rmin=5.000000, gamma=0.000000, phi=0.400553
# dim 0: low=0.000000, high=100.000000
# dim 1: low=0.000000, high=100.000000


start_surface
name spheres
action_both all r
color 0.8 0.8 0.8 0.4
panel s 5.963177 34.402166 5.000000 22
panel s 2.463464 94.320939 5.000000 22
panel s 102.463464 94.320939 5.000000 22
panel s 15.213032 20.125848 5.000000 22
panel s 28.453043 14.022119 5.000000 22
panel s 88.625693 95.500834 5.000000 22
panel s 88.625693 -4.499166 5.000000 22
panel s 37.493503 86.069110 5.000000 22
panel s 55.766209 14.684012 5.000000 22
panel s 71.076807 95.677912 5.000000 22
panel s 71.076807 -4.322088 5.000000 22
panel s 33.214536 75.279594 5.000000 22
panel s 15.954590 36.091171 5.000000 22
panel s 25.741522 91.179099 5.000000 22
panel s 86.775389 78.963976 5.000000 22
panel s 48.297619 60.631176 5.000000 22
panel s 93.067283 41.768147 5.000000 22
panel s 68.925771 23.602428 5.000000 22
panel s 57.498291 2.556130 5.000000 22
panel s 57.498291 102.556130 5.000000 22
panel s 19.689424 81.216049 5.000000 22
panel s 44.629050 45.395471 5.000000 22
panel s 9.635278 11.777496 5.000000 22
panel s 44.483577 27.592646 5.000000 22
panel s 41.614668 95.370114 5.000000 22
panel s 41.614668 -4.629886 5.000000 22
panel s 99.964269 62.140001 5.000000 22
panel s -0.035731 62.140001 5.000000 22
panel s 28.489249 44.918589 5.000000 22
panel s 23.830021 25.960340 5.000000 22
panel s 77.670661 4.979254 5.000000 22
panel s 77.670661 104.979254 5.000000 22
panel s 14.273807 93.309597 5.000000 22
panel s 67.790409 52.472926 5.000000 22
panel s 80.251352 29.524809 5.000000 22
panel s 56.681938 69.452506 5.000000 22
panel s 96.626100 24.506691 5.000000 22
panel s -3.373900 24.506691 5.000000 22
panel s 62.824063 85.485164 5.000000 22
panel s 75.078509 73.499863 5.000000 22
panel s 84.925674 68.518290 5.000000 22
panel s 45.238503 78.260810 5.000000 22
panel s 0.256355 75.184592 5.000000 22
panel s 100.256355 75.184592 5.000000 22
panel s 79.530761 89.159774 5.000000 22
panel s 20.135775 3.003773 5.000000 22
panel s 20.135775 103.003773 5.000000 22
panel s 12.488640 70.880765 5.000000 22
panel s 44.758525 15.376179 5.000000 22
panel s 85.495729 13.116454 5.000000 22
panel s 52.505514 89.242120 5.000000 22
panel s 53.970859 51.050682 5.000000 22
panel s 53.464913 33.705285 5.000000 22
panel s 80.883314 56.874177 5.000000 22
panel s 33.120647 33.328762 5.000000 22
panel s 11.287124 60.836415 5.000000 22
panel s 36.980617 63.182895 5.000000 22
panel s 67.688432 37.024772 5.000000 22
panel s 43.629951 5.288351 5.000000 22
panel s 22.943682 57.863658 5.000000 22
panel s 22.572859 68.290922 5.000000 22
end_surface

end_file
